"Rank","Name","Platform","Year","Genre","Publisher","Global_Sales"
"360","Croc: Legend of the Gobbos","PS","1997","Platform","Fox Interactive","3.56"
"361","Grand Theft Auto: Liberty City Stories","PS2","2006","Action","Take-Two Interactive","3.54"
"362","The Getaway","PS2","2002","Action","Sony Computer Entertainment","3.54"
"363","Tomb Raider III: Adventures of Lara Croft","PS","1997","Action","Eidos Interactive","3.54"
"364","James Bond 007: Agent Under Fire","PS2","2001","Shooter","Electronic Arts","3.53"
"365","LEGO Star Wars: The Video Game","PS2","2005","Action","Eidos Interactive","3.53"
"366","Battlefield 4","X360","2013","Shooter","Electronic Arts","3.53"
"367","FIFA Soccer 11","X360","2010","Sports","Electronic Arts","3.53"
"368","Rugrats in Paris: The Movie","PS","2000","Action","THQ","3.52"
"369","Spyro 2: Ripto's Rage!","PS","1999","Platform","Sony Computer Entertainment","3.52"
"370","Left 4 Dead","X360","2008","Shooter","Electronic Arts","3.52"
"371","Mario & Sonic at the Olympic Winter Games","DS","2009","Sports","Sega","3.52"
"372","Resident Evil 5","X360","2009","Action","Capcom","3.51"
"373","Donkey Kong Country 3: Dixie Kong's Double Trouble!","SNES","1996","Platform","Nintendo","3.51"
"374","Assassin's Creed: Brotherhood","X360","2010","Action","Ubisoft","3.5"
"375","Kung Fu","NES","1985","Action","Nintendo","3.5"
"376","Batman: Arkham Asylum","X360","2009","Action","Eidos Interactive","3.5"
"377","Clubhouse Games","DS","2006","Misc","Nintendo","3.5"
"378","FIFA Soccer 2004","PS2","N/A","Sports","Electronic Arts","3.49"
"379","Star Wars Battlefront (2015)","XOne","2015","Shooter","Electronic Arts","3.49"
"380","Battlefield: Bad Company 2","X360","2010","Shooter","Electronic Arts","3.48"
"381","Guitar Hero: On Tour","DS","2008","Misc","Activision","3.48"
"382","Assassin's Creed: Unity","XOne","2014","Action","Ubisoft","3.46"
"383","Far Cry 3","PS3","2012","Shooter","Ubisoft","3.45"
"384","Monster Hunter 4","3DS","2013","Role-Playing","Capcom","3.44"
"385","Borderlands","X360","2009","Shooter","Take-Two Interactive","3.44"
"386","Tekken 4","PS2","2002","Fighting","Namco Bandai Games","3.44"
"387","Battlefield 4","PS4","2013","Shooter","Electronic Arts","3.43"
"388","LittleBigPlanet 2","PS3","2011","Platform","Sony Computer Entertainment","3.42"
"389","Grand Theft Auto 2","PS","1998","Action","Take-Two Interactive","3.42"
"390","Final Fantasy III","SNES","1994","Role-Playing","SquareSoft","3.42"
"391","Spider-Man 2","PS2","2004","Action","Activision","3.41"
"392","F-1 Race","GB","1990","Racing","Nintendo","3.41"
"393","FIFA Soccer 2003","PS2","2002","Sports","Electronic Arts","3.4"
"394","Crash Bash","PS","2000","Misc","Sony Computer Entertainment","3.39"
"395","LEGO Batman: The Videogame","X360","2008","Action","Warner Bros. Interactive Entertainment","3.38"
"396","Metal Gear Solid V: The Phantom Pain","PS4","2015","Action","Konami Digital Entertainment","3.38"
"397","The Legend of Zelda: Spirit Tracks","DS","2009","Action","Nintendo","3.38"
"398","WWF War Zone","PS","1998","Fighting","Acclaim Entertainment","3.36"
"399","The Legend of Zelda: Majora's Mask","N64","2000","Action","Nintendo","3.36"
"400","Professor Layton and the Unwound Future","DS","2008","Puzzle","Nintendo","3.36"
"401","Rugrats: Search For Reptar","PS","1998","Adventure","THQ","3.34"
"402","Assassin's Creed IV: Black Flag","X360","2013","Action","Ubisoft","3.34"
"403","English Training: Have Fun Improving Your Skills!","DS","2006","Misc","Nintendo","3.33"
"404","James Bond 007: Nightfire","PS2","2002","Shooter","Electronic Arts","3.33"
"405","Ratchet & Clank","PS2","2002","Platform","Sony Computer Entertainment","3.33"
"406","Mario Party 9","Wii","2012","Misc","Nintendo","3.32"
"407","Star Wars Episode III: Revenge of the Sith","PS2","2005","Action","LucasArts","3.32"
"408","Max Payne","PS2","2001","Shooter","Take-Two Interactive","3.31"
"409","The Lord of the Rings: The Return of the King","PS2","2003","Action","Electronic Arts","3.28"
"410","Assassin's Creed Syndicate","PS4","2015","Action","Ubisoft","3.28"
"411","Destiny","XOne","2014","Shooter","Activision","3.28"
"412","True Crime: Streets of LA","PS2","2003","Action","Activision","3.27"
"413","Wii Music","Wii","2008","Misc","Nintendo","3.27"
"414","Gran Turismo (PSP)","PSP","2009","Racing","Sony Computer Entertainment","3.27"
"415","Monster Hunter X","3DS","2015","Action","Capcom","3.26"
"416","Tekken","PS","1995","Fighting","Sony Computer Entertainment","3.24"
"417","FIFA 16","XOne","2015","Sports","Electronic Arts","3.23"
"418","L.A. Noire","PS3","2011","Adventure","Take-Two Interactive","3.23"
"419","Madden NFL 16","PS4","2015","Sports","Electronic Arts","3.22"
"420","Yokai Watch 2 Ganso/Honke","3DS","2014","Role-Playing","Nintendo","3.22"
"421","007: Tomorrow Never Dies","PS","1999","Shooter","Electronic Arts","3.21"
"422","Baseball","NES","1983","Sports","Nintendo","3.2"
"423","Killer Instinct","SNES","1995","Fighting","Nintendo","3.2"
"424","WWF SmackDown! 2: Know Your Role","PS","2000","Fighting","THQ","3.2"
"425","Crisis Core: Final Fantasy VII","PSP","2007","Role-Playing","Square Enix","3.19"
"426","God of War: Chains of Olympus","PSP","2008","Action","Sony Computer Entertainment","3.19"
"427","Dragon Quest VI: Maboroshi no Daichi","SNES","1995","Role-Playing","Enix Corporation","3.19"
"428","Dance Central","X360","2010","Misc","MTV Games","3.19"
"429","Enter the Matrix","PS2","2003","Action","Atari","3.18"
"430","Super Mario Maker","WiiU","2015","Platform","Nintendo","3.18"
"431","Fallout: New Vegas","PS3","2010","Role-Playing","Bethesda Softworks","3.17"
"432","LEGO Batman: The Videogame","Wii","N/A","Action","Warner Bros. Interactive Entertainment","3.17"
"433","Rhythm Heaven","DS","2008","Misc","Nintendo","3.17"
"434","Ace Combat 04: Shattered Skies","PS2","2001","Simulation","Sony Computer Entertainment Europe","3.17"
"435","Club Penguin: Elite Penguin Force","DS","2008","Adventure","Disney Interactive Studios","3.16"
"436","Animal Crossing","GC","2001","Simulation","Nintendo","3.15"
"437","LEGO Batman: The Videogame","DS","2008","Action","Warner Bros. Interactive Entertainment","3.15"
"438","Sonic Rush","DS","2005","Platform","Sega","3.15"
"439","Resident Evil 6","PS3","2012","Shooter","Capcom","3.15"
"440","Halo: The Master Chief Collection","XOne","2014","Shooter","Microsoft Game Studios","3.15"
"441","FIFA Soccer 08","PS2","2007","Sports","Electronic Arts","3.14"
"442","Spider-Man","PS","2000","Action","Activision","3.13"
"443","Need for Speed III: Hot Pursuit","PS","1998","Racing","Electronic Arts","3.12"
"444","Star Wars Episode I Racer","N64","1999","Racing","Nintendo","3.12"
"445","Personal Trainer: Cooking","DS","2006","Misc","Nintendo","3.12"
"446","The Elder Scrolls IV: Oblivion","PS3","2007","Role-Playing","Ubisoft","3.12"
"447","Dragon Warrior IV","NES","1990","Role-Playing","Enix Corporation","3.12"
"448","Heavy Rain","PS3","2010","Adventure","Sony Computer Entertainment","3.12"
"449","Mass Effect 2","X360","2010","Role-Playing","Electronic Arts","3.11"
"450","FIFA 15","X360","2014","Sports","Electronic Arts","3.11"
"451","Dragon Ball Z: Budokai","PS2","2002","Fighting","Atari","3.09"
"452","Madden NFL 2002","PS2","2001","Sports","Electronic Arts","3.08"
"453","World Class Track Meet","NES","1986","Sports","Namco Bandai Games","3.08"
"454","Borderlands 2","X360","2012","Shooter","Take-Two Interactive","3.07"
"455","The Legend of Zelda: A Link Between Worlds","3DS","2013","Action","Nintendo","3.07"
"456","Donkey Kong","GB","1994","Platform","Nintendo","3.07"
"457","The Sims: Vacation","PC","2002","Simulation","Electronic Arts","3.07"
"458","Mass Effect 3","X360","2012","Role-Playing","Electronic Arts","3.07"
"459","Kung Fu Panda","X360","2008","Action","Activision","3.05"
"460","Far Cry 3","X360","2012","Shooter","Ubisoft","3.04"
"461","Epic Mickey","Wii","2010","Platform","Disney Interactive Studios","3.04"
"462","Saints Row 2","X360","2008","Action","THQ","3.03"
"463","Rayman","PS","1995","Platform","Ubisoft","3.03"
"464","Killzone 2","PS3","2009","Shooter","Sony Computer Entertainment","3.02"
"465","Tom Clancy's Splinter Cell","XB","2002","Action","Ubisoft","3.02"
"466","Mike Tyson's Punch-Out!!","NES","1987","Fighting","Nintendo","3.02"
"467","WWE SmackDown! Shut Your Mouth","PS2","2002","Sports","THQ","3.02"
"468","Gears of War: Ultimate Edition","XOne","2015","Shooter","Microsoft Game Studios","3"
"469","NBA 2K13","X360","2012","Sports","Take-Two Interactive","3"
"470","Dragon Ball Z: Budokai Tenkaichi 3","PS2","2007","Fighting","Atari","3"
"471","wwe Smackdown vs. Raw 2006","PS2","N/A","Fighting","N/A","3"
"472","Middle-Earth: Shadow of Mordor","PS4","2014","Action","Warner Bros. Interactive Entertainment","2.99"
"473","Star Fox","SNES","1993","Shooter","Nintendo","2.99"
"474","The Sims: Livin Large","PC","2000","Misc","Electronic Arts","2.99"
"475","World Soccer Winning Eleven 6 International","PS2","2002","Sports","Konami Digital Entertainment","2.99"
"476","Devil May Cry","PS2","2001","Action","Capcom","2.99"
"477","Animal Crossing: Happy Home Designer","3DS","2015","Simulation","Nintendo","2.98"
"478","Battlefield: Bad Company 2","PS3","2010","Shooter","Electronic Arts","2.97"
"479","The Sims 4","PC","2014","Simulation","Electronic Arts","2.97"
"480","Star Wars: The Old Republic","PC","2011","Role-Playing","Electronic Arts","2.97"
"481","Sonic Heroes","PS2","2003","Platform","Sega","2.96"
"482","Kirby Super Star Ultra","DS","2008","Platform","Nintendo","2.96"
"483","Hitman 2: Silent Assassin","PS2","2002","Action","Eidos Interactive","2.96"
"484","Street Fighter IV","X360","2009","Fighting","Capcom","2.95"
"485","Wave Race 64","N64","1996","Racing","Nintendo","2.94"
"486","SOCOM II: U.S. Navy SEALs","PS2","2003","Shooter","Sony Computer Entertainment","2.94"
"487","WWE SmackDown! vs. RAW 2006","PS2","2005","Fighting","THQ","2.94"
"488","inFAMOUS","PS3","2009","Action","Sony Computer Entertainment","2.94"
"489","Pac-Man Collection","GBA","2001","Puzzle","Atari","2.94"
"490","Mass Effect","X360","2007","Role-Playing","Microsoft Game Studios","2.93"
"491","WarioWare: Smooth Moves","Wii","2006","Puzzle","Nintendo","2.92"
"492","Cooking Mama: Cook Off","Wii","2007","Simulation","505 Games","2.91"
"493","Super Mario World 2: Yoshi's Island","GBA","2002","Platform","Nintendo","2.91"
"494","FIFA 14","PS4","2013","Sports","Electronic Arts","2.9"
"495","Titanfall","XOne","2014","Shooter","Electronic Arts","2.9"
"496","Sonic Mega Collection Plus","PS2","2004","Misc","Sega","2.9"
"497","Sega Superstars Tennis","X360","2008","Sports","Sega","2.9"
"498","World Soccer Winning Eleven 7 International","PS2","2003","Sports","Konami Digital Entertainment","2.9"
"499","Need for Speed: Most Wanted","PS3","2012","Racing","Electronic Arts","2.89"
"500","Hot Shots Golf 3","PS2","2001","Sports","Sony Computer Entertainment","2.89"
